
NO_OF_TRIPS,START_STATION_NAME,END_STATION_NAME
5704,San Francisco Caltrain 2 (330 Townsend),Townsend at 7th
5420,2nd at Townsend,Harry Bridges Plaza (Ferry Building)
5350,Harry Bridges Plaza (Ferry Building),2nd at Townsend
5302,Embarcadero at Sansome,Steuart at Market
4914,Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome
4912,San Francisco Caltrain (Townsend at 4th),Harry Bridges Plaza (Ferry Building)
4890,Embarcadero at Folsom,San Francisco Caltrain (Townsend at 4th)
4782,Townsend at 7th,San Francisco Caltrain 2 (330 Townsend)
4681,Temporary Transbay Terminal (Howard at Beale),San Francisco Caltrain (Townsend at 4th)
4668,Steuart at Market,2nd at Townsend
