
NO_OF_TRIPS,START_STATION_NAME,END_STATION_NAME,SUBSCRIBER_TYPE
1030,Harry Bridges Plaza (Ferry Building),Embarcadero at Sansome,Customer
665,Embarcadero at Sansome,Embarcadero at Sansome,Customer
572,Embarcadero at Sansome,Harry Bridges Plaza (Ferry Building),Customer
449,Harry Bridges Plaza (Ferry Building),Harry Bridges Plaza (Ferry Building),Customer
319,Embarcadero at Sansome,Steuart at Market,Customer
316,Embarcadero at Vallejo,Embarcadero at Sansome,Customer
294,Embarcadero at Sansome,Market at 4th,Customer
287,Embarcadero at Sansome,2nd at Townsend,Customer
279,University and Emerson,University and Emerson,Customer
254,Steuart at Market,Embarcadero at Sansome,Customer
